date,date,count_yt,count_ain,count_cons,count_msm,count_cchan,count_tweets
2018-10-18 13:00:00,2018-10-18 13:00:00,1469,3.0,3.0,1.0,5.0,179217
2019-02-16 11:00:00,2019-02-16 11:00:00,884,0.0,0.0,2.0,0.0,148145
2019-01-28 07:00:00,2019-01-28 07:00:00,901,0.0,1.0,1.0,0.0,105751
2018-12-12 22:00:00,2018-12-12 22:00:00,1150,1.0,6.0,1.0,4.0,136554
2019-02-01 23:00:00,2019-02-01 23:00:00,716,1.0,3.0,0.0,4.0,128982
2019-01-11 16:00:00,2019-01-11 16:00:00,1429,2.0,2.0,4.0,2.0,169164
2018-12-24 18:00:00,2018-12-24 18:00:00,1252,1.0,3.0,0.0,3.0,127426
2019-04-08 18:00:00,2019-04-08 18:00:00,681,0.0,3.0,1.0,0.0,140132
2019-04-21 23:00:00,2019-04-21 23:00:00,723,1.0,1.0,3.0,2.0,138108
2019-01-22 19:00:00,2019-01-22 19:00:00,1179,4.0,1.0,2.0,2.0,132396
2019-04-25 13:00:00,2019-04-25 13:00:00,1393,1.0,1.0,5.0,4.0,212940
2019-04-02 12:00:00,2019-04-02 12:00:00,1090,0.0,0.0,0.0,0.0,176877
2019-01-07 23:00:00,2019-01-07 23:00:00,1262,1.0,5.0,3.0,10.0,136882
2019-02-12 20:00:00,2019-02-12 20:00:00,699,1.0,1.0,3.0,4.0,136352
2019-01-24 09:00:00,2019-01-24 09:00:00,989,1.0,2.0,0.0,1.0,125101
2019-04-07 19:00:00,2019-04-07 19:00:00,946,1.0,3.0,2.0,2.0,136706
2019-02-24 18:00:00,2019-02-24 18:00:00,699,0.0,1.0,4.0,1.0,147164
2018-11-14 21:00:00,2018-11-14 21:00:00,1208,3.0,2.0,2.0,1.0,129055
2019-03-29 09:00:00,2019-03-29 09:00:00,954,0.0,1.0,6.0,3.0,130369
2019-04-03 03:00:00,2019-04-03 03:00:00,648,2.0,2.0,2.0,3.0,150165
2019-04-14 19:00:00,2019-04-14 19:00:00,723,0.0,0.0,4.0,4.0,134978
2019-02-11 02:00:00,2019-02-11 02:00:00,804,1.0,5.0,1.0,8.0,181078
2019-05-23 23:00:00,2019-05-23 23:00:00,642,0.0,0.0,8.0,3.0,146816
2018-10-05 08:00:00,2018-10-05 08:00:00,915,1.0,1.0,0.0,0.0,107205
2019-04-20 20:00:00,2019-04-20 20:00:00,590,3.0,0.0,3.0,1.0,120341
2018-10-16 09:00:00,2018-10-16 09:00:00,1202,1.0,0.0,0.0,0.0,120348
2019-03-30 00:00:00,2019-03-30 00:00:00,673,2.0,1.0,2.0,1.0,131715
2019-05-04 14:00:00,2019-05-04 14:00:00,1034,1.0,0.0,3.0,0.0,195412
2019-05-13 05:00:00,2019-05-13 05:00:00,587,0.0,0.0,2.0,3.0,121204
2018-11-01 17:00:00,2018-11-01 17:00:00,1330,10.0,1.0,3.0,2.0,133057
